City,Lat,Long,Max_temp,Humidity,Cloudiness,Wind_Speed,Country,Date
saint-pierre,-21.34,55.48,77.0,65,0,14.99,RE,1609279083
folldal,62.13,10.0,22.08,94,97,0.63,NO,1609279084
rikitea,-23.12,-134.97,78.17,76,100,8.86,PF,1609278709
lagoa,39.05,-27.98,57.31,71,100,17.96,PT,1609279086
luba,3.46,8.55,80.6,100,20,8.05,GQ,1609279087
celestun,20.87,-90.4,77.97,63,0,10.54,MX,1609279088
chuy,-33.7,-53.46,74.43,73,0,10.74,UY,1609279090
vaini,-21.2,-175.2,77.0,88,75,6.93,TO,1609279091
port alfred,-33.59,26.89,69.01,89,100,1.99,ZA,1609278687
faanui,-16.48,-151.75,80.64,78,94,14.79,PF,1609279093
hualmay,-11.1,-77.61,73.62,74,91,11.97,PE,1609279094
avarua,-21.21,-159.78,86.0,74,24,6.93,CK,1609279096
coquimbo,-29.95,-71.34,66.2,68,20,12.75,CL,1609278500
sulya,12.57,75.38,75.2,83,0,2.82,IN,1609279098
adiake,5.29,-3.3,82.4,88,20,5.82,CI,1609279099
mujiayingzi,42.12,118.78,-16.62,78,0,12.12,CN,1609279100
broken hill,-31.95,141.43,64.4,48,75,14.99,AU,1609278753
hobart,-42.88,147.33,63.0,67,40,9.17,AU,1609278449
nishihara,26.18,127.76,64.4,77,90,20.8,JP,1609279104
kruisfontein,-34.0,24.73,59.88,91,29,5.01,ZA,1609279105
margate,51.38,1.39,39.0,83,90,4.0,GB,1609279106
kavieng,-2.57,150.8,84.09,65,96,4.65,PG,1609279107
kholodnyy,62.72,147.95,-18.02,83,100,7.72,RU,1609279108
bambous virieux,-20.34,57.76,77.0,78,40,11.41,MU,1609279110
newton,42.34,-71.21,30.99,33,17,14.99,US,1609278918
catuday,16.29,119.81,79.52,86,85,22.86,PH,1609279112
grand baie,-20.02,57.58,77.0,78,2,8.01,MU,1609278887
kodiak,57.79,-152.41,39.2,93,90,23.04,US,1609278767
iwanai,42.97,140.51,17.76,91,100,3.31,JP,1609279116
diamantino,-14.41,-56.45,79.74,75,18,2.89,BR,1609279117
beya,53.05,90.91,-12.3,82,100,0.89,RU,1609279118
coronel oviedo,-25.42,-56.45,82.02,78,15,2.33,PY,1609279120
irbil,36.19,44.01,49.03,47,0,3.38,IQ,1609279121
lavrentiya,65.58,-171.0,22.03,97,99,11.83,RU,1609278761
menongue,-14.66,17.69,64.72,92,95,4.05,AO,1609279123
hasaki,35.73,140.83,55.0,93,75,5.82,JP,1609279124
linqiong,30.42,103.46,37.4,93,93,6.06,CN,1609279125
hithadhoo,-0.6,73.08,81.99,76,95,7.96,MV,1609279126
kibi,6.16,-0.55,73.8,86,76,2.04,GH,1609279127
moose factory,51.26,-80.61,10.4,72,90,14.99,CA,1609279128
beringovskiy,63.05,179.32,23.9,98,100,9.53,RU,1609279129
bredasdorp,-34.53,20.04,62.6,63,0,3.36,ZA,1609278740
catamarca,-28.47,-65.79,80.01,74,37,15.41,AR,1609279132
lorengau,-2.02,147.27,84.61,64,24,3.74,PG,1609279133
komsomolskiy,40.43,71.72,28.4,86,0,2.24,UZ,1609279134
berdigestyakh,62.1,126.7,-12.77,89,100,5.59,RU,1609279135
chapais,49.78,-74.85,6.8,77,90,11.41,CA,1609279136
vila franca do campo,37.72,-25.43,53.6,76,20,9.17,PT,1609278796
yerbogachen,61.28,108.01,-24.52,83,1,6.91,RU,1609279138
richards bay,-28.78,32.04,77.29,79,0,4.68,ZA,1609279139
naze,28.37,129.48,66.2,82,75,32.21,JP,1609278748
kariba,-16.52,28.8,74.43,83,96,2.93,ZW,1609279141
alta floresta,-9.88,-56.09,72.12,95,100,0.98,BR,1609279142
lebu,-37.62,-73.65,60.44,74,18,10.92,CL,1609279144
chokurdakh,70.63,147.92,-35.46,84,98,7.81,RU,1609278699
pirajui,-22.0,-49.46,77.0,81,84,4.0,BR,1609279146
husavik,66.04,-17.34,19.4,85,40,1.12,IS,1609279147
hobyo,5.35,48.53,79.0,80,41,22.26,SO,1609279149
norman wells,65.28,-126.83,-9.4,83,75,2.64,CA,1609278659
jadu,31.95,12.03,49.17,48,4,13.35,LY,1609279151
martapura,-3.42,114.85,75.2,100,75,1.12,ID,1609279154
sola,-13.88,167.55,84.2,83,75,5.82,VU,1609279155
kutum,14.2,24.67,61.68,32,0,8.28,SD,1609279157
mao,39.89,4.27,51.8,53,37,9.17,ES,1609279004
manzanillo,20.34,-77.12,76.06,67,7,15.41,CU,1609279159
frunzivka,47.33,29.75,45.03,90,55,8.01,UA,1609279160
laguna,38.42,-121.42,59.0,41,1,4.7,US,1609279162
pochutla,15.74,-96.47,82.99,58,5,6.93,MX,1609279164
kabompo,-13.59,24.2,65.95,96,100,2.95,ZM,1609279166
codrington,-38.27,141.97,61.25,79,100,2.1,AU,1609278512
haines junction,60.75,-137.51,23.0,94,100,0.51,CA,1609278681
soyo,-6.13,12.37,78.66,84,100,4.32,AO,1609278871
basco,20.45,121.97,76.24,79,100,32.79,PH,1609279170
amga,60.9,131.96,-48.82,75,52,0.65,RU,1609279171
kununurra,-15.77,128.73,78.8,100,100,4.7,AU,1609279172
meulaboh,4.14,96.13,75.27,89,42,5.61,ID,1609279173
hit,33.64,42.83,53.19,39,0,7.09,IQ,1609279174
yumen,40.28,97.2,1.92,79,0,17.98,CN,1609279175
seoul,37.57,126.98,14.0,56,20,14.41,KR,1609278991
port-cartier,50.03,-66.87,18.0,72,100,17.22,CA,1609279177
warrington,53.39,-2.58,37.4,93,0,4.7,GB,1609279179
arraial do cabo,-22.97,-42.03,77.0,78,75,13.87,BR,1609278732
hambantota,6.12,81.12,71.6,100,20,5.82,LK,1609278771
yar-sale,66.83,70.83,-12.03,90,99,8.34,RU,1609279182
vardo,70.37,31.11,32.0,91,75,21.92,NO,1609279183
kenitra,34.26,-6.58,53.6,100,75,4.7,MA,1609279016
zheleznodorozhnyy,55.75,38.0,23.0,85,75,15.66,RU,1609279186
nemuro,43.32,145.57,23.52,97,100,10.27,JP,1609279188
puerto quijarro,-17.78,-57.77,90.97,45,98,3.06,BO,1609279189
piacabucu,-10.41,-36.43,76.91,75,99,8.66,BR,1609279192
kavaratti,10.57,72.64,81.01,80,32,12.24,IN,1609279193
itarema,-2.92,-39.92,80.24,74,29,16.87,BR,1609279194
astaneh-ye ashrafiyeh,37.26,49.94,44.91,83,95,1.79,IR,1609279195
reconquista,-29.15,-59.65,94.6,36,2,2.73,AR,1609279196
bengkulu,-3.8,102.27,75.99,77,100,3.62,ID,1609279197
port hardy,50.7,-127.42,42.8,86,90,21.92,CA,1609279199
chermoz,58.79,56.15,-12.35,90,87,2.8,RU,1609279200
provideniya,64.38,-173.3,26.6,79,75,13.42,RU,1609278790
hirara,24.8,125.28,62.6,82,75,21.92,JP,1609279204
paamiut,61.99,-49.67,30.99,93,100,27.07,GL,1609279153
shimoda,34.67,138.95,50.0,91,67,1.99,JP,1609279207
nacogdoches,31.6,-94.63,71.6,56,75,13.87,US,1609279213
santa maria,-29.68,-53.81,91.4,36,20,3.36,BR,1609279219
azangaro,-14.92,-70.22,55.0,60,98,5.03,PE,1609279221
souillac,-20.52,57.52,77.0,78,40,11.41,MU,1609278648
san policarpo,12.18,125.51,80.53,82,79,2.04,PH,1609279223
abonnema,4.71,6.79,80.6,88,20,6.87,NG,1609279224
dalbandin,28.89,64.41,37.89,57,0,6.31,PK,1609279226
port lincoln,-34.73,135.87,63.16,77,100,11.1,AU,1609279228
gamba,-2.65,10.0,77.07,92,100,7.34,GA,1609279229
svetlogorsk,52.63,29.73,33.98,95,59,7.9,BY,1609279230
opuwo,-18.06,13.84,69.04,67,100,7.05,NA,1609279231
mahibadhoo,3.78,72.97,81.84,74,52,6.31,MV,1609279232
ranghulu,46.65,124.87,-8.64,85,1,7.94,CN,1609279147
guerrero negro,27.98,-114.06,62.37,57,2,18.75,MX,1609279235
marawi,8.0,124.29,73.0,93,98,5.99,PH,1609279236
curuca,-0.73,-47.85,79.75,76,68,7.16,BR,1609279237
deputatskiy,69.3,139.9,-27.83,87,34,2.62,RU,1609279238
mount gambier,-37.83,140.77,59.0,87,90,8.05,AU,1609279239
oktyabrskiy,54.48,53.47,-7.06,91,12,1.72,RU,1609279240
poya,-21.35,165.15,81.99,71,19,7.14,NC,1609279241
nuevo progreso,23.17,-97.95,82.0,42,0,5.01,MX,1609279243
pozorice,49.21,16.79,39.2,86,0,6.93,CZ,1609279244
nelson bay,-32.72,152.15,73.0,83,56,6.93,AU,1609279003
novo aripuana,-5.12,-60.38,76.59,94,100,1.99,BR,1609279247
salamiyah,35.01,37.05,47.71,66,0,5.55,SY,1609279248
kuching,1.55,110.33,75.2,100,40,2.89,MY,1609279222
saint-georges,12.06,-61.75,84.2,74,20,7.27,GD,1609279250
interlaken,36.95,-121.73,61.0,44,1,1.72,US,1609279252
bodden town,19.28,-81.25,78.8,65,40,17.22,KY,1609279254
hamilton,39.18,-84.53,36.0,47,90,13.87,US,1609279255
denpasar,-8.65,115.22,78.8,94,40,1.12,ID,1609279256
lanzhou,36.06,103.79,15.01,50,38,1.81,CN,1609279257
saskylakh,71.92,114.08,-23.4,85,99,12.66,RU,1609279258
henties bay,-22.12,14.28,66.0,87,100,9.64,NA,1609279259
constitucion,-35.33,-72.42,64.0,67,11,16.4,CL,1609278554
berlevag,70.86,29.09,32.0,95,99,2.24,NO,1609279261
sao bernardo,-3.36,-42.42,80.37,73,68,8.55,BR,1609279263
puerto montt,-41.47,-72.94,57.2,67,75,14.99,CL,1609279246
ulagan,50.63,87.96,-2.31,74,95,3.13,RU,1609279266
caborca,30.58,-111.1,60.01,50,58,4.0,MX,1609279267
dingle,11.0,122.67,75.78,91,63,5.64,PH,1609278769
lieksa,63.32,30.02,25.68,96,100,13.87,FI,1609279269
riyadh,24.69,46.72,48.2,93,24,6.15,SA,1609279238
port elizabeth,-33.92,25.57,66.2,88,88,5.82,ZA,1609279263
kahului,20.89,-156.47,82.4,51,1,12.19,US,1609279011
bilibino,68.05,166.44,-19.17,83,100,2.57,RU,1609279274
mount pleasant,32.79,-79.86,57.99,67,1,8.05,US,1609279275
severo-kurilsk,50.68,156.12,24.71,91,82,16.91,RU,1609279276
badhni kalan,30.68,75.28,41.11,69,0,3.18,IN,1609279277
diphu,25.83,93.43,51.69,82,75,1.01,IN,1609279278
salinas,36.68,-121.66,60.8,41,1,2.84,US,1609279121
san vicente,-26.62,-54.13,76.19,70,63,1.21,AR,1609279280
tibati,6.47,12.63,71.01,29,25,4.05,CM,1609279281
madras,13.09,80.28,78.8,83,75,2.24,IN,1609279282
