City,Lat,Long,Max_temp,Humidity,Cloudiness,Wind_Speed,Country,Date
san cristobal,7.77,-72.22,80.6,65,40,11.41,VE,1609279421
recodo,6.95,121.96,77.0,88,75,2.24,PH,1609279469
travesia,15.87,-87.9,77.0,100,75,2.24,HN,1609279470
leh,34.17,77.58,-2.29,64,0,2.19,IN,1609279471
channel-port aux basques,47.57,-59.14,36.75,90,100,20.13,CA,1609279472
kodino,63.72,39.64,9.55,94,45,6.46,RU,1609279473
lensk,60.73,114.93,-22.16,82,100,14.05,RU,1609279475
inta,66.03,60.17,-25.38,83,0,3.4,RU,1609279476
bolton,53.58,-2.43,30.99,83,0,2.48,GB,1609279478
pingliang,35.54,106.69,11.77,72,0,2.08,CN,1609279479
san andres,12.58,-81.7,82.4,78,40,11.41,CO,1609279462
alice springs,-23.7,133.88,69.8,32,20,1.12,AU,1609279481
sahuaripa,29.05,-109.23,64.36,43,42,9.57,MX,1609279482
bhubaneswar,20.23,85.83,64.4,88,0,2.51,IN,1609279284
vinukonda,16.05,79.75,65.77,92,0,1.99,IN,1609279485
glendive,47.11,-104.71,28.99,58,1,16.11,US,1609279399
charyshskoye,51.4,83.56,12.06,83,100,2.28,RU,1609279487
tocopilla,-22.09,-70.2,71.94,61,52,4.0,CL,1609279488
socorro,31.65,-106.3,59.0,33,5,13.87,US,1609279489
banda aceh,5.56,95.32,77.7,82,64,8.97,ID,1609279490
shingu,33.73,135.98,53.8,88,100,11.41,JP,1609279224
pevek,69.7,170.31,-11.36,88,100,4.23,RU,1609279493
hays,30.05,-98.03,70.0,32,100,5.99,US,1609279494
asau,46.43,26.4,39.99,65,89,4.83,RO,1609279495
koslan,63.46,48.9,0.25,91,95,3.56,RU,1609279496
singleton,-32.57,151.18,73.99,62,83,5.91,AU,1609279497
huilong,31.81,121.66,26.01,52,73,25.05,CN,1609279341
maumere,-8.62,122.21,80.01,79,99,3.8,ID,1609279499
tara,56.89,74.37,-4.38,92,100,6.73,RU,1609279500
kokopo,-4.35,152.26,77.74,84,99,3.74,PG,1609279212
grand gaube,-20.01,57.66,75.99,78,2,7.0,MU,1609279504
hami,42.8,93.45,12.22,65,0,4.18,CN,1609279505
oyem,1.6,11.58,69.15,96,94,2.55,GA,1609279506
harper,4.38,-7.72,79.57,84,51,7.25,LR,1609279508
yulara,-25.24,130.99,66.2,21,0,6.93,AU,1609279509
sakakah,29.97,40.21,48.2,70,0,6.93,SA,1609279510
labuhan,-6.88,112.21,75.02,84,100,5.73,ID,1609279511
nobeoka,32.58,131.67,41.0,86,59,5.99,JP,1609279512
bonthe,7.53,-12.51,79.07,81,4,6.6,SL,1609279513
cosmopolis,-22.65,-47.2,73.0,82,85,3.0,BR,1609279514
brae,60.4,-1.35,39.2,77,5,8.05,GB,1609279515
sarangani,5.4,125.46,82.85,73,100,7.0,PH,1609279517
tadine,-21.55,167.88,79.9,73,46,19.6,NC,1609279518
zadar,44.12,15.24,55.4,58,20,14.99,HR,1609279520
srivardhan,18.03,73.02,70.21,64,40,3.65,IN,1609279521
dryden,49.78,-92.75,14.0,78,40,9.17,CA,1609279522
kargasok,59.06,80.86,-0.83,93,97,9.01,RU,1609279523
rocha,-34.48,-54.33,77.81,55,24,8.81,UY,1609279525
privolnaya,46.14,38.7,39.16,79,0,6.8,RU,1609279526
koksovyy,48.2,40.6,28.67,98,89,11.68,RU,1609279528
touros,-5.2,-35.46,78.8,78,0,10.29,BR,1609279283
miles city,46.41,-105.84,28.4,58,90,19.46,US,1609279530
rovaniemi,66.5,25.72,24.8,92,90,8.05,FI,1609279532
sao pedro da aldeia,-22.84,-42.1,77.0,78,75,8.05,BR,1609279533
governador valadares,-18.85,-41.95,74.77,84,63,1.92,BR,1609279534
camopi,3.17,-52.32,74.73,94,69,3.69,GF,1609279535
cascioarele,44.13,26.47,46.0,93,1,1.12,RO,1609279536
sinnamary,5.38,-52.95,78.44,85,48,8.7,GF,1609279537
marsa matruh,31.35,27.25,59.0,77,40,4.7,EG,1609279538
umtata,-31.59,28.78,78.8,57,100,8.05,ZA,1609279540
busia,0.45,34.08,64.92,89,39,3.56,UG,1609279541
mitchell,43.71,-98.03,24.8,79,90,13.87,US,1609279542
morant bay,17.88,-76.41,84.2,66,75,3.36,JM,1609279543
regina,50.45,-104.62,17.6,92,90,20.8,CA,1609279343
mosquera,4.71,-74.23,62.6,59,40,10.29,CO,1609279545
le moule,16.33,-61.35,78.8,78,0,6.93,GP,1609279547
okha,53.57,142.95,-19.52,86,96,12.08,RU,1609279548
sorland,67.67,12.69,39.33,72,97,17.92,NO,1609279549
hovd,48.01,91.64,-12.3,85,6,1.63,MN,1609279550
north bend,43.41,-124.22,53.01,66,1,9.17,US,1609279552
tromso,69.65,18.96,35.6,64,0,19.46,NO,1609279553
outjo,-20.12,16.15,64.4,100,100,1.12,NA,1609279555
mildura,-34.2,142.15,69.01,55,100,10.29,AU,1609279556
petropavlovsk-kamchatskiy,53.05,158.65,6.8,71,78,6.71,RU,1609279557
panshi,42.94,126.06,-6.99,80,44,7.94,CN,1609279335
sept-iles,50.2,-66.38,19.4,72,100,17.22,CA,1609279559
jertih,5.73,102.49,75.2,94,20,3.36,MY,1609279560
havre-saint-pierre,50.23,-63.6,28.4,92,90,14.99,CA,1609279561
banda,25.48,80.33,48.67,50,0,4.52,IN,1609279562
evensk,61.95,159.23,-1.03,85,100,13.29,RU,1609279563
nome,64.5,-165.41,30.2,80,75,13.87,US,1609279448
launceston,-41.45,147.17,62.01,93,90,3.36,AU,1609279565
amalapuram,16.58,82.02,66.61,88,1,4.61,IN,1609279566
turukhansk,65.82,87.98,-18.98,79,80,13.35,RU,1609279568
alugan,12.22,125.48,80.13,83,79,1.99,PH,1609279569
bundaberg,-24.85,152.35,71.01,100,75,12.75,AU,1609279570
hastings,50.86,0.57,37.99,83,98,1.99,GB,1609279571
ambon,-3.7,128.18,77.0,88,40,3.36,ID,1609279573
waipawa,-41.41,175.52,62.01,72,95,8.05,NZ,1609279574
bubaque,11.28,-15.83,80.89,74,0,9.73,GW,1609279576
tateyama,34.98,139.87,62.01,70,60,13.0,JP,1609279326
bima,-8.47,118.72,75.69,84,99,2.48,ID,1609279581
lamego,41.1,-7.81,36.0,9,14,3.38,PT,1609279582
mae hong son,19.3,97.97,58.15,54,55,1.7,TH,1609279573
phek,25.67,94.5,37.02,100,87,1.66,IN,1609279585
krasnoselkup,65.7,82.47,-9.63,86,100,14.79,RU,1609279586
saint-leu,-21.15,55.28,77.0,65,0,14.99,RE,1609279587
frontera,26.93,-101.45,77.0,56,40,5.46,MX,1609279588
namtsy,62.72,129.67,-52.6,55,90,1.99,RU,1609279589
cam ranh,11.92,109.16,77.0,65,20,8.05,VN,1609279590
ahuimanu,21.44,-157.84,80.6,69,40,8.05,US,1609279591
sovetskiy,61.36,63.58,-20.49,87,88,6.44,RU,1609279593
qinnan,33.25,119.91,14.77,84,0,14.27,CN,1609279594
san jose,37.34,-121.89,63.0,30,40,3.36,US,1609279020
beniganj,27.28,80.45,47.89,52,0,5.99,IN,1609279596
high level,58.52,-117.14,-4.0,83,75,1.61,CA,1609279597
etla,17.06,-96.79,77.0,15,5,5.82,MX,1609279598
jalu,29.03,21.55,55.36,53,0,10.13,LY,1609279599
ilulissat,69.22,-51.1,19.4,62,40,24.16,GL,1609279600
muscat,23.61,58.59,62.6,63,0,4.7,OM,1609279601
sitka,57.05,-135.33,46.4,52,75,21.92,US,1609279602
nangomba,-10.9,38.5,73.18,96,100,6.06,TZ,1609279603
pedro escobedo,20.5,-100.13,71.6,19,5,11.41,MX,1609279604
livani,56.35,26.18,37.96,85,100,14.79,LV,1609279605
vila velha,-20.33,-40.29,79.0,78,20,14.99,BR,1609279606
ixtapa,20.7,-105.2,73.99,73,5,10.29,MX,1609279341
weatherford,32.76,-97.8,66.99,81,100,5.99,US,1609279610
ambunti,-4.24,142.84,74.53,97,100,1.3,PG,1609279611
caninde,-4.36,-39.31,82.89,51,41,7.54,BR,1609279612
faya,18.39,42.45,55.4,71,0,2.26,SA,1609279613
roding,49.2,12.52,33.01,97,67,4.05,DE,1609279614
qasigiannguit,68.82,-51.19,19.4,62,40,24.16,GL,1609279615
savannah bight,16.45,-85.85,77.0,78,75,4.7,HN,1609279616
isla mujeres,21.23,-86.73,80.01,57,40,13.87,MX,1609279617
rafai,4.95,23.92,76.33,39,98,0.31,CF,1609279618
andros town,24.7,-77.77,73.4,64,75,11.41,BS,1609279619
taoudenni,22.68,-3.98,71.82,31,36,4.43,ML,1609279621
ambilobe,-13.2,49.05,75.47,90,100,1.39,MG,1609279622
atar,20.52,-13.05,70.12,34,25,2.62,MR,1609279623
gari,59.43,62.35,-18.69,87,61,5.44,RU,1609279624
chumikan,54.72,135.31,-20.78,80,100,19.8,RU,1609279625
erenhot,43.65,111.98,-16.1,83,0,9.26,CN,1609279626
taganak,6.08,118.3,73.4,100,40,1.12,PH,1609279627
emba,48.83,58.14,5.13,92,0,4.7,KZ,1609279629
ust-maya,60.42,134.53,-53.81,71,52,0.45,RU,1609279630
oranjemund,-28.55,16.43,61.61,80,1,8.41,NA,1609279631
xiongyue,40.18,122.12,2.17,83,62,20.71,CN,1609279632
mikuni,36.22,136.15,44.6,100,90,3.36,JP,1609279547
warwick,41.7,-71.42,32.0,79,1,12.75,US,1609279634
bolgatanga,10.79,-0.85,74.68,18,0,5.91,GH,1609279636
litovko,49.24,135.17,-13.13,70,53,1.83,RU,1609279637
westport,41.14,-73.36,34.0,54,56,11.48,US,1609279506
micheweni,-4.97,39.83,81.27,79,98,12.66,TZ,1609279639
tarko-sale,64.92,77.78,-13.0,79,100,12.41,RU,1609279640
narasaraopet,16.25,80.07,65.14,92,0,2.59,IN,1609279641
la asuncion,11.03,-63.86,78.3,83,10,7.7,VE,1609279642
khandyga,62.67,135.6,-45.6,77,100,1.12,RU,1609279644
anshun,26.25,105.93,32.49,93,99,13.56,CN,1609279430
ilebo,-4.32,20.58,70.34,91,100,0.38,CD,1609279646
sagua de tanamo,20.58,-75.24,72.9,79,9,10.04,CU,1609279647
chilca,-12.52,-76.74,71.6,83,90,13.87,PE,1609279648
mamontovo,52.71,81.62,9.9,93,100,12.77,RU,1609279649
oistins,13.07,-59.53,77.0,88,75,4.7,BB,1609279651
ipojuca,-8.4,-35.06,78.8,61,75,11.41,BR,1609279652
bandarbeyla,9.49,50.81,73.9,81,59,21.14,SO,1609279653
stornoway,58.21,-6.39,34.0,80,40,9.17,GB,1609279654
san miguelito,9.03,-79.5,82.4,88,40,11.41,PA,1609279656
